year,mean_day_of_year,median_day_of_year,std_day_of_year,min_day_of_year,max_day_of_year,station_count,record_count,range_day_of_year
1953,106.36,101.0,16.77,33,150,75,75,117
1954,103.25,96.0,16.59,45,148,79,79,103
1955,104.01,97.0,15.94,87,146,79,79,59
1956,105.71,103.0,16.92,24,135,80,80,111
1957,107.48,104.5,17.85,25,142,82,82,117
1958,104.65,98.5,19.32,27,149,84,84,122
1959,98.16,94.0,17.67,33,140,85,85,107
1960,105.75,99.0,18.33,36,160,84,84,124
1961,106.18,100.0,14.04,89,147,82,82,58
1962,106.54,102.0,14.84,43,140,87,87,97
1963,105.62,102.0,15.6,46,142,87,87,96
1964,106.15,102.0,15.95,37,149,85,85,112
1965,112.7,107.0,17.09,31,148,90,90,117
1966,104.26,97.0,18.53,36,147,89,89,111
1967,102.44,97.0,17.03,30,142,89,89,112
1968,104.88,100.0,16.45,19,149,91,91,130
1969,108.82,103.0,12.54,93,140,90,90,47
1970,111.52,107.0,12.52,93,144,89,89,51
1971,104.65,100.0,18.49,34,149,91,91,115
1972,102.83,98.0,15.49,27,139,92,92,112
1973,102.9,98.0,16.78,37,138,93,93,101
1974,105.99,101.0,19.91,20,142,94,94,122
1975,104.33,101.0,20.22,32,151,95,95,119
1976,103.64,100.5,21.96,27,144,96,96,117
1977,99.91,95.0,24.84,21,151,97,97,130
1978,108.29,104.0,18.42,28,149,95,95,121
1979,103.57,97.5,22.53,25,153,96,96,128
1980,106.08,101.0,23.01,32,151,97,97,119
1981,99.87,98.0,24.77,26,152,100,100,126
1982,96.12,93.5,25.89,21,146,100,100,125
1983,99.45,100.0,21.57,28,140,100,100,112
1984,109.52,108.5,28.86,24,156,100,100,132
1985,101.48,99.0,23.04,28,143,99,99,115
1986,101.57,102.0,24.85,24,145,100,100,121
1987,99.24,97.0,23.4,27,140,100,100,113
1988,105.38,105.0,24.13,18,149,99,99,131
1989,94.28,93.0,25.85,8,146,100,100,138
1990,92.47,91.0,23.15,23,137,100,100,114
1991,100.0,99.0,20.99,31,138,101,101,107
1992,97.95,96.0,24.88,27,154,101,101,127
1993,100.53,101.0,24.88,23,142,99,99,119
1994,99.32,98.0,24.81,27,143,99,99,116
1995,101.13,100.0,20.96,34,142,99,99,108
1996,102.81,101.5,28.26,22,152,100,100,130
1997,96.16,94.0,24.35,27,143,100,100,116
1998,95.32,94.5,20.2,27,138,96,96,111
1999,97.42,95.0,21.88,32,142,96,96,110
2000,100.87,101.0,26.67,23,147,97,97,124
2001,96.27,94.5,23.79,25,144,96,96,119
2002,88.78,89.0,21.86,28,133,95,95,105
2003,97.41,96.0,22.31,26,148,93,93,122
2004,96.74,94.0,21.84,32,140,93,93,108
2005,103.86,99.0,22.11,38,149,92,92,111
2006,99.6,96.5,25.33,24,142,88,88,118
2007,99.22,95.0,20.89,38,143,83,83,105
2008,96.38,95.0,20.07,25,143,72,72,118
2009,95.43,96.0,21.4,23,136,68,68,113
2010,97.2,94.0,24.91,31,145,61,61,114
2011,99.36,98.0,23.85,28,145,59,59,117
2012,99.51,100.0,23.63,30,141,59,59,111
2013,92.76,88.5,27.78,21,148,58,58,127
2014,92.72,92.0,23.25,22,134,58,58,112
2015,91.59,91.0,21.33,24,128,58,58,104
2016,95.57,94.0,18.55,33,136,58,58,103
2017,98.64,98.0,19.05,39,138,58,58,99
2018,89.47,88.0,21.84,29,135,58,58,106
2019,96.32,95.0,19.04,38,133,57,57,95
2020,97.33,94.0,17.62,34,134,55,55,100
2021,89.26,88.0,19.76,32,131,57,57,99
2022,91.57,90.5,19.9,31,130,58,58,99
2023,89.16,88.0,17.69,30,125,56,56,95
2024,97.43,98.0,17.4,33,126,56,56,93
2025,98.57,96.0,14.51,35,130,54,54,95
